CURRENT_ICD10_LIST,SNOMED_CONCEPT_NAME,SNOMED_CONCEPT_ID,CURATE_METHOD
M54.41,G89.29,M54.42,Chronic low back pain (finding),278860009,Database
R06.02,Dyspnea (finding),267036007,Database
R06.00,Dyspnea (finding),267036007,Database
R06.09,T50.Z15A,Dyspnea (finding),267036007,Database
R06.00,R06.89,Dyspnea (finding),267036007,Database
T80.89XA,R06.00,Dyspnea (finding),267036007,Database
O99.891,R06.02,Dyspnea (finding),267036007,Database
T70.29XD,Dyspnea (finding),267036007,Database
O26.893,R06.02,Dyspnea (finding),267036007,Database
R06.09,R09.89,Dyspnea (finding),267036007,Database
O26.892,R06.02,Dyspnea (finding),267036007,Database
O26.891,R06.02,Dyspnea (finding),267036007,Database
R06.81,Dyspnea (finding),267036007,Database
O26.899,R06.02,Dyspnea (finding),267036007,Database
R06.0,Dyspnea (finding),267036007,Database
I50.9,Dyspnea (finding),267036007,Database
O26.892,R06.00,Dyspnea (finding),267036007,Database
R06.02,Z20.822,Dyspnea (finding),267036007,Database
R06.02,T50.B95A,Dyspnea (finding),267036007,Database
R06.02,T50.Z95A,Dyspnea (finding),267036007,Database
O26.891,R06.00,Dyspnea (finding),267036007,Database
T80.89XD,R06.00,Dyspnea (finding),267036007,Database
O26.899,R06.00,Dyspnea (finding),267036007,Database
T70.29XA,Dyspnea (finding),267036007,Database
O26.893,R06.00,Dyspnea (finding),267036007,Database
R06.09,Dyspnea (finding),267036007,Database
R06.02,R21,Dyspnea (finding),267036007,Database
L50.9,R06.02,Dyspnea (finding),267036007,Database
T70.29XS,Dyspnea (finding),267036007,Database
R06.00,B94.8,Dyspnea (finding),267036007,Database
R06.00,T80.89XS,Dyspnea (finding),267036007,Database
R06.2,Wheezing (finding),56018004,Database
J45.909,Wheezing (finding),56018004,Database
J45.52,Wheezing (finding),56018004,Database
J45.22,Wheezing (finding),56018004,Database
J45.32,Wheezing (finding),56018004,Database
J45.21,Wheezing (finding),56018004,Database
J45.902,Wheezing (finding),56018004,Database
J45.50,Wheezing (finding),56018004,Database
J45.51,Wheezing (finding),56018004,Database
J45.20,Wheezing (finding),56018004,Database
J45.42,Wheezing (finding),56018004,Database
J45.40,Wheezing (finding),56018004,Database
J45.30,Wheezing (finding),56018004,Database
J45.41,Wheezing (finding),56018004,Database
J45.31,Wheezing (finding),56018004,Database
T80.89XA,R06.2,Y84.8,Wheezing (finding),56018004,Database
J98.8,Wheezing (finding),56018004,Database
R21,R06.2,Wheezing (finding),56018004,Database
J02.0,Streptococcal sore throat (disorder),43878008,Database
J03.00,Streptococcal sore throat (disorder),43878008,Database
J02.0,B95.1,Streptococcal sore throat (disorder),43878008,Database
J18.9,Pneumonia (disorder),233604007,Database
O99.511,J18.9,Pneumonia (disorder),233604007,Database
J82.89,Pneumonia (disorder),233604007,Database
O99.519,J18.9,Pneumonia (disorder),233604007,Database
O99.512,J18.9,Pneumonia (disorder),233604007,Database
J18.9,A41.9,Pneumonia (disorder),233604007,Database
O99.513,J18.9,Pneumonia (disorder),233604007,Database
J40,J18.9,Pneumonia (disorder),233604007,Database
Z83.6,Pneumonia (disorder),233604007,Database
J17,Pneumonia (disorder),233604007,Database
J18.0,Pneumonia (disorder),233604007,Database
O99.519,Pneumonia (disorder),233604007,Database
R09.02,Hypoxemia (disorder),389087006,Database
R09.02,Z98.890,Hypoxemia (disorder),389087006,Database
T80.89XA,R09.02,Hypoxemia (disorder),389087006,Database
R09.02,J45.909,Hypoxemia (disorder),389087006,Database
R09.02,Z99.81,Hypoxemia (disorder),389087006,Database
J44.9,G47.36,Hypoxemia (disorder),389087006,Database
J43.9,G47.36,Hypoxemia (disorder),389087006,Database
I27.29,G47.36,Hypoxemia (disorder),389087006,Database
E66.9,G47.36,Hypoxemia (disorder),389087006,Database
R06.03,Respiratory distress (finding),271825005,Database
T80.89XA,R06.03,Respiratory distress (finding),271825005,Database
G72.89,R29.2,R13.10,R06.03,Respiratory distress (finding),271825005,Database
J44.9,R06.03,Respiratory distress (finding),271825005,Database
R06.00,Respiratory distress (finding),271825005,Database
P22.0,Respiratory distress (finding),271825005,Database
R06.09,T40.605A,Respiratory distress (finding),271825005,Database
O03.9,Miscarriage in first trimester (disorder),19169002,Database
O02.1,Miscarriage in first trimester (disorder),19169002,Database
R07.89,Joint pain (finding),57676002,Database
M25.50,Joint pain (finding),57676002,Database
T84.84XS,Joint pain (finding),57676002,Database
T84.84XD,Joint pain (finding),57676002,Database
M25.59,Joint pain (finding),57676002,Database
M25.569,Joint pain (finding),57676002,Database
M25.531,Joint pain (finding),57676002,Database
M25.532,Joint pain (finding),57676002,Database
M25.551,G89.29,M25.561,M25.552,M25.562,Joint pain (finding),57676002,Database
M25.539,Joint pain (finding),57676002,Database
E84.8,Joint pain (finding),57676002,Database
M25.50,T45.1X5A,Joint pain (finding),57676002,Database
T84.84XA,Joint pain (finding),57676002,Database
M25.50,G89.29,Joint pain (finding),57676002,Database
M25.50,G89.18,Joint pain (finding),57676002,Database
M25.559,M25.569,Joint pain (finding),57676002,Database
M19.90,Joint pain (finding),57676002,Database
M25.562,Joint pain (finding),57676002,Database
M25.561,Joint pain (finding),57676002,Database
A69.20,Joint pain (finding),57676002,Database
M25.5,Joint pain (finding),57676002,Database
M54.9,Joint pain (finding),57676002,Database
M25.561,M25.562,Joint pain (finding),57676002,Database
M25.50,T50.Z95A,Joint pain (finding),57676002,Database
M79.10,Muscle pain (finding),68962001,Database
M79.18,Muscle pain (finding),68962001,Database
T14.8XXA,Muscle pain (finding),68962001,Database
M79.10,T36.95XA,Muscle pain (finding),68962001,Database
M54.2,Muscle pain (finding),68962001,Database
M79.7,Muscle pain (finding),68962001,Database
M79.10,T36.8X5A,Muscle pain (finding),68962001,Database
M79.12,Muscle pain (finding),68962001,Database
M79.1,Muscle pain (finding),68962001,Database
M79.10,T50.B95A,Muscle pain (finding),68962001,Database
M79.11,Muscle pain (finding),68962001,Database
J02.9,Sore throat symptom (finding),267102003,Database
R51.9,Headache (finding),25064002,Database
O26.892,R51.9,Headache (finding),25064002,Database
O26.893,R51.9,Headache (finding),25064002,Database
R51.9,D72.820,R29.818,Headache (finding),25064002,Database
G43.809,Headache (finding),25064002,Database
O26.899,R51.9,Headache (finding),25064002,Database
T80.89XA,R51.9,Headache (finding),25064002,Database
R51.0,Headache (finding),25064002,Database
G44.41,Headache (finding),25064002,Database
O26.891,R51.9,Headache (finding),25064002,Database
R51.9,G89.29,Headache (finding),25064002,Database
G44.4,Headache (finding),25064002,Database
G44.40,Headache (finding),25064002,Database
R51,Headache (finding),25064002,Database
R51.9,Z87.828,Headache (finding),25064002,Database
G44.89,Headache (finding),25064002,Database
R51.9,R29.818,Headache (finding),25064002,Database
G51.8,Headache (finding),25064002,Database
R51.9,D84.9,Headache (finding),25064002,Database
G44.309,S09.90XS,Headache (finding),25064002,Database
G44.40,T50.Z95A,Headache (finding),25064002,Database
G44.89,F32.9,Headache (finding),25064002,Database
T88.59XA,R51.9,Headache (finding),25064002,Database
B99.9,R51.9,Headache (finding),25064002,Database
G44.84,Headache (finding),25064002,Database
S09.90XA,Headache (finding),25064002,Database
G44.309,Headache (finding),25064002,Database
M54.2,G89.29,Chronic neck pain (finding),1121000119107,Database
M54.2,M54.9,G89.29,Chronic neck pain (finding),1121000119107,Database
M54.2,G89.29,M48.8X2,Chronic neck pain (finding),1121000119107,Database
M54.2,G89.28,Z98.890,Chronic neck pain (finding),1121000119107,Database
M47.812,G89.29,Chronic neck pain (finding),1121000119107,Database
S93.402S,Sprain of ankle (disorder),44465007,Database
S93.401S,Sprain of ankle (disorder),44465007,Database
S93.409D,Sprain of ankle (disorder),44465007,Database
S93.409A,Sprain of ankle (disorder),44465007,Database
S93.401D,Sprain of ankle (disorder),44465007,Database
S96.911S,Sprain of ankle (disorder),44465007,Database
S93.401A,Sprain of ankle (disorder),44465007,Database
S93.402D,Sprain of ankle (disorder),44465007,Database
S93.492,Sprain of ankle (disorder),44465007,Database
S93.402A,Sprain of ankle (disorder),44465007,Database
S93.409S,Sprain of ankle (disorder),44465007,Database
S96.912D,Sprain of ankle (disorder),44465007,Database
S93.422S,Sprain of ankle (disorder),44465007,Database
S93.422A,Sprain of ankle (disorder),44465007,Database
S93.499S,Sprain of ankle (disorder),44465007,Database
S93.499A,Sprain of ankle (disorder),44465007,Database
S93.499D,Sprain of ankle (disorder),44465007,Database
S93.429A,Sprain of ankle (disorder),44465007,Database
S93.429D,Sprain of ankle (disorder),44465007,Database
S93.429S,Sprain of ankle (disorder),44465007,Database
S93.421A,Sprain of ankle (disorder),44465007,Database
S93.421D,Sprain of ankle (disorder),44465007,Database
S96.912S,Sprain of ankle (disorder),44465007,Database
S93.491A,Sprain of ankle (disorder),44465007,Database
S93.491D,Sprain of ankle (disorder),44465007,Database
S93.491S,Sprain of ankle (disorder),44465007,Database
S93.492A,Sprain of ankle (disorder),44465007,Database
S93.492D,Sprain of ankle (disorder),44465007,Database
S93.492S,Sprain of ankle (disorder),44465007,Database
S96.911A,Sprain of ankle (disorder),44465007,Database
S93.422D,Sprain of ankle (disorder),44465007,Database
S93.421S,Sprain of ankle (disorder),44465007,Database
S96.911D,Sprain of ankle (disorder),44465007,Database
S96.912A,Sprain of ankle (disorder),44465007,Database
S93.4,Sprain of ankle (disorder),44465007,Database
S93.491,Sprain of ankle (disorder),44465007,Database
S93.49,Sprain of ankle (disorder),44465007,Database
R68.83,Chill (finding),43724002,Database
T80.89XA,R68.83,Chill (finding),43724002,Database
R68.83,T50.Z95A,Chill (finding),43724002,Database
E78.1,Hyperlipidemia (disorder),55822004,Database
E78.3,Hyperlipidemia (disorder),55822004,Database
E78.5,Hyperlipidemia (disorder),55822004,Database
E78.4,Hyperlipidemia (disorder),55822004,Database
E78.49,Hyperlipidemia (disorder),55822004,Database
E78.5,E78.6,Hyperlipidemia (disorder),55822004,Database
E10.69,E78.5,Hyperlipidemia (disorder),55822004,Database
E09.69,E78.5,Hyperlipidemia (disorder),55822004,Database
E13.69,E78.5,Hyperlipidemia (disorder),55822004,Database
R79.89,Hyperlipidemia (disorder),55822004,Database
O85,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.1,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.0,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.0,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.52,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.1,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
U07.1,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.9,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.9,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
B37.7,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
O75.3,A41.9,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
P36.4,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.01,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.52,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
O75.3,A41.9,J96.00,R65.20,Acute respiratory failure (disorder),65710008,Database
A02.1,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
J96.90,G70.9,Acute respiratory failure (disorder),65710008,Database
P36.0,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
J96.01,Acute respiratory failure (disorder),65710008,Database
B37.7,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.51,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.3,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.3,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.9,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.02,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.8,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
P36.0,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
J96.00,Acute respiratory failure (disorder),65710008,Database
P36.4,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
O85,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.51,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.3,R65.21,J96.90,Acute respiratory failure (disorder),65710008,Database
A02.1,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.3,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.9,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.02,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.01,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
A40.8,R65.21,J96.00,Acute respiratory failure (disorder),65710008,Database
O75.3,A41.9,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.50,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
A41.1,R65.20,J96.00,Acute respiratory failure (disorder),65710008,Database
J44.9,J96.00,Acute respiratory failure (disorder),65710008,Database
J96.20,Acute respiratory failure (disorder),65710008,Database
J95.88,Acute respiratory failure (disorder),65710008,Database
J96.0,Acute respiratory failure (disorder),65710008,Database
J95.821,Acute respiratory failure (disorder),65710008,Database
K63.5,Polyp of colon (disorder),68496003,Database
K51.413,Polyp of colon (disorder),68496003,Database
K51.418,Polyp of colon (disorder),68496003,Database
K51.411,Polyp of colon (disorder),68496003,Database
K51.412,Polyp of colon (disorder),68496003,Database
K51.40,Polyp of colon (disorder),68496003,Database
K51.414,Polyp of colon (disorder),68496003,Database
K51.419,Polyp of colon (disorder),68496003,Database
E11.00,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,Diabetes mellitus type 2 (disorder),44054006,Database
E11.52,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
