icd10_code,description,snomed_concept_id,snomed_concept_name
J98.4,Other disorders of lung,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
M35.81,Multisystem inflammatory syndrome,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
R21,Rash and other nonspecific skin eruption,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
D68.69,Other thrombophilia,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
I82.90,Acute embolism and thrombosis of unspecified vein,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
I63.9,"Cerebral infarction, unspecified",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
I26.99,Other pulmonary embolism without acute cor pulmonale,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
R23.8,Other skin changes,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
O98.519,"Other viral diseases complicating pregnancy, unspecified trimester",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
I51.89,Other ill-defined heart diseases,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
D89.839,"Cytokine release syndrome, grade unspecified",840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R50.81,Fever presenting with conditions classified elsewhere,386661006,Fever (finding)
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,386661006,Fever (finding)
R50.8,Other specified fever,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R50.2,Drug induced fever,386661006,Fever (finding)
M04.1,Periodic fever syndromes,386661006,Fever (finding)
R22.1,"Localized swelling, mass and lump, neck",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R10.84,Generalized abdominal pain,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
P81.9,"Disturbance of temperature regulation of newborn, unspecified",386661006,Fever (finding)
M79.629,Pain in unspecified upper arm,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
D61.818,Other pancytopenia,386661006,Fever (finding)
R50.81,Fever presenting with conditions classified elsewhere,386661006,Fever (finding)
J98.9,"Respiratory disorder, unspecified",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
M79.609,Pain in unspecified limb,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
M25.539,Pain in unspecified wrist,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
D72.829,"Elevated white blood cell count, unspecified",386661006,Fever (finding)
M79.639,Pain in unspecified forearm,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R09.89,Other specified symptoms and signs involving the circulatory and respiratory systems,386661006,Fever (finding)
M25.529,Pain in unspecified elbow,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
R10.9,Unspecified abdominal pain,386661006,Fever (finding)
G89.18,Other acute postprocedural pain,386661006,Fever (finding)
R50.82,Postprocedural fever,386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
J02.9,"Acute pharyngitis, unspecified",386661006,Fever (finding)
R50.9,"Fever, unspecified",386661006,Fever (finding)
Z20.822,Contact with and (suspected) exposure to COVID-19,386661006,Fever (finding)
J02.9,"Acute pharyngitis, unspecified",195662009,Acute viral pharyngitis (disorder)
B08.5,Enteroviral vesicular pharyngitis,195662009,Acute viral pharyngitis (disorder)
B08.8,Other specified viral infections characterized by skin and mucous membrane lesions,195662009,Acute viral pharyngitis (disorder)
R05,Cough,49727002,Cough (finding)
R05,Cough,49727002,Cough (finding)
R05,Cough,49727002,Cough (finding)
R09.81,Nasal congestion,49727002,Cough (finding)
J06.9,"Acute upper respiratory infection, unspecified",49727002,Cough (finding)
J98.01,Acute bronchospasm,49727002,Cough (finding)
R05,Cough,49727002,Cough (finding)
Z20.822,Contact with and (suspected) exposure to COVID-19,49727002,Cough (finding)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J45.901,Unspecified asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J20.8,Acute bronchitis due to other specified organisms,10509002,Acute bronchitis (disorder)
B97.81,Human metapneumovirus as the cause of diseases classified elsewhere,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J45.31,Mild persistent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J45.41,Moderate persistent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J45.51,Severe persistent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J45.909,"Unspecified asthma, uncomplicated",10509002,Acute bronchitis (disorder)
J45.21,Mild intermittent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J21.9,"Acute bronchiolitis, unspecified",10509002,Acute bronchitis (disorder)
J45.909,"Unspecified asthma, uncomplicated",10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J45.21,Mild intermittent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,10509002,Acute bronchitis (disorder)
J20.9,"Acute bronchitis, unspecified",10509002,Acute bronchitis (disorder)
J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,10509002,Acute bronchitis (disorder)
J20,Acute bronchitis,10509002,Acute bronchitis (disorder)
Z34.90,"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester",72892002,Normal pregnancy (finding)
Z34.83,"Encounter for supervision of other normal pregnancy, third trimester",72892002,Normal pregnancy (finding)
Z34.80,"Encounter for supervision of other normal pregnancy, unspecified trimester",72892002,Normal pregnancy (finding)
Z34.02,"Encounter for supervision of normal first pregnancy, second trimester",72892002,Normal pregnancy (finding)
Z34.01,"Encounter for supervision of normal first pregnancy, first trimester",72892002,Normal pregnancy (finding)
Z34.03,"Encounter for supervision of normal first pregnancy, third trimester",72892002,Normal pregnancy (finding)
Z34.91,"Encounter for supervision of normal pregnancy, unspecified, first trimester",72892002,Normal pregnancy (finding)
Z34.92,"Encounter for supervision of normal pregnancy, unspecified, second trimester",72892002,Normal pregnancy (finding)
Z34.00,"Encounter for supervision of normal first pregnancy, unspecified trimester",72892002,Normal pregnancy (finding)
Z34.82,"Encounter for supervision of other normal pregnancy, second trimester",72892002,Normal pregnancy (finding)
Z34.81,"Encounter for supervision of other normal pregnancy, first trimester",72892002,Normal pregnancy (finding)
Z34.93,"Encounter for supervision of normal pregnancy, unspecified, third trimester",72892002,Normal pregnancy (finding)
O09.40,"Supervision of pregnancy with grand multiparity, unspecified trimester",72892002,Normal pregnancy (finding)
Z34.9,"Encounter for supervision of normal pregnancy, unspecified",72892002,Normal pregnancy (finding)
Z33.1,"Pregnant state, incidental",72892002,Normal pregnancy (finding)
Z03.71,Encounter for suspected problem with amniotic cavity and membrane ruled out,72892002,Normal pregnancy (finding)
Z32.01,"Encounter for pregnancy test, result positive",72892002,Normal pregnancy (finding)
Z34,Encounter for supervision of normal pregnancy,72892002,Normal pregnancy (finding)
Z34.0,Encounter for supervision of normal first pregnancy,72892002,Normal pregnancy (finding)
Z34.8,Encounter for supervision of other normal pregnancy,72892002,Normal pregnancy (finding)
R43.2,Parageusia,36955009,Loss of taste (finding)
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.09,Other obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R53.82,"Chronic fatigue, unspecified",84229001,Fatigue (finding)
R29.898,Other symptoms and signs involving the musculoskeletal system,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
D64.9,"Anemia, unspecified",84229001,Fatigue (finding)
F32.9,"Major depressive disorder, single episode, unspecified",84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R68.89,Other general symptoms and signs,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
G47.9,"Sleep disorder, unspecified",84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
R53.83,Other fatigue,84229001,Fatigue (finding)
D64.9,"Anemia, unspecified",271737000,Anemia (disorder)
D64.89,Other specified anemias,271737000,Anemia (disorder)
D46.4,"Refractory anemia, unspecified",271737000,Anemia (disorder)
H35.00,Unspecified background retinopathy,271737000,Anemia (disorder)
D64.9,"Anemia, unspecified",271737000,Anemia (disorder)
Q07.9,"Congenital malformation of nervous system, unspecified",271737000,Anemia (disorder)
D55.9,"Anemia due to enzyme disorder, unspecified",271737000,Anemia (disorder)
D69.6,"Thrombocytopenia, unspecified",271737000,Anemia (disorder)
D63.1,Anemia in chronic kidney disease,271737000,Anemia (disorder)
D75.81,Myelofibrosis,271737000,Anemia (disorder)
D56.1,Beta thalassemia,271737000,Anemia (disorder)
D64.8,Other specified anemias,271737000,Anemia (disorder)
O99.019,"Anemia complicating pregnancy, unspecified trimester",271737000,Anemia (disorder)
D55,Anemia due to enzyme disorders,271737000,Anemia (disorder)
R73.03,Prediabetes,714628002,Prediabetes (finding)
I10,Essential (primary) hypertension,59621000,Essential hypertension (disorder)
O99.280,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester",59621000,Essential hypertension (disorder)
O16.9,"Unspecified maternal hypertension, unspecified trimester",59621000,Essential hypertension (disorder)
E27.40,Unspecified adrenocortical insufficiency,59621000,Essential hypertension (disorder)
J32.9,"Chronic sinusitis, unspecified",40055000,Chronic sinusitis (disorder)
J32.8,Other chronic sinusitis,40055000,Chronic sinusitis (disorder)
J32.9,"Chronic sinusitis, unspecified",40055000,Chronic sinusitis (disorder)
J40,"Bronchitis, not specified as acute or chronic",40055000,Chronic sinusitis (disorder)
J32,Chronic sinusitis,40055000,Chronic sinusitis (disorder)
H66.90,"Otitis media, unspecified, unspecified ear",65363002,Otitis media (disorder)
H67.9,"Otitis media in diseases classified elsewhere, unspecified ear",65363002,Otitis media (disorder)
H66.92,"Otitis media, unspecified, left ear",65363002,Otitis media (disorder)
H66.91,"Otitis media, unspecified, right ear",65363002,Otitis media (disorder)
H66.93,"Otitis media, unspecified, bilateral",65363002,Otitis media (disorder)
H65.90,"Unspecified nonsuppurative otitis media, unspecified ear",65363002,Otitis media (disorder)
H66.91,"Otitis media, unspecified, right ear",65363002,Otitis media (disorder)
H72.91,"Unspecified perforation of tympanic membrane, right ear",65363002,Otitis media (disorder)
H66.92,"Otitis media, unspecified, left ear",65363002,Otitis media (disorder)
H72.92,"Unspecified perforation of tympanic membrane, left ear",65363002,Otitis media (disorder)
H65.92,"Unspecified nonsuppurative otitis media, left ear",65363002,Otitis media (disorder)
H65.91,"Unspecified nonsuppurative otitis media, right ear",65363002,Otitis media (disorder)
H66.90,"Otitis media, unspecified, unspecified ear",65363002,Otitis media (disorder)
H72.90,"Unspecified perforation of tympanic membrane, unspecified ear",65363002,Otitis media (disorder)
H67.2,"Otitis media in diseases classified elsewhere, left ear",65363002,Otitis media (disorder)
H67.1,"Otitis media in diseases classified elsewhere, right ear",65363002,Otitis media (disorder)
H67.3,"Otitis media in diseases classified elsewhere, bilateral",65363002,Otitis media (disorder)
A38.0,Scarlet fever with otitis media,65363002,Otitis media (disorder)
H65.93,"Unspecified nonsuppurative otitis media, bilateral",65363002,Otitis media (disorder)
H65.195,"Other acute nonsuppurative otitis media, recurrent, left ear",65363002,Otitis media (disorder)
H65.196,"Other acute nonsuppurative otitis media, recurrent, bilateral",65363002,Otitis media (disorder)
H65.194,"Other acute nonsuppurative otitis media, recurrent, right ear",65363002,Otitis media (disorder)
H65.197,"Other acute nonsuppurative otitis media recurrent, unspecified ear",65363002,Otitis media (disorder)
H66.93,"Otitis media, unspecified, bilateral",65363002,Otitis media (disorder)
H72.93,"Unspecified perforation of tympanic membrane, bilateral",65363002,Otitis media (disorder)
Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,65363002,Otitis media (disorder)
Z86.69,Personal history of other diseases of the nervous system and sense organs,65363002,Otitis media (disorder)
H66.9,"Otitis media, unspecified",65363002,Otitis media (disorder)
H67,Otitis media in diseases classified elsewhere,65363002,Otitis media (disorder)
M54.5,Low back pain,278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.40,"Lumbago with sciatica, unspecified side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.5,Low back pain,278860009,Chronic low back pain (finding)
M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
R06.02,Shortness of breath,267036007,Dyspnea (finding)
R06.00,"Dyspnea, unspecified",267036007,Dyspnea (finding)
