set_id,icd_code,icd_description,snomed,snomed_concept_name
32,S01.42,Laceration with foreign body of cheek and temporomandibular area,370247008,Facial laceration (disorder)
33,S01.41,Laceration without foreign body of cheek and temporomandibular area,370247008,Facial laceration (disorder)
34,S05.40,"Penetrating wound of orbit with or without foreign body, unspecified eye",370247008,Facial laceration (disorder)
35,S05.41,"Penetrating wound of orbit with or without foreign body, right eye",370247008,Facial laceration (disorder)
36,S09.12,Laceration of muscle and tendon of head,370247008,Facial laceration (disorder)
37,S01.81,Laceration without foreign body of other part of head,370247008,Facial laceration (disorder)
38,S01.91,Laceration without foreign body of unspecified part of head,370247008,Facial laceration (disorder)
39,S01.11,Laceration without foreign body of eyelid and periocular area,370247008,Facial laceration (disorder)
40,S05.42,"Penetrating wound of orbit with or without foreign body, left eye",370247008,Facial laceration (disorder)
41,S91.31,Laceration without foreign body of foot,284551006,Laceration of foot (disorder)
42,S91.30,Unspecified open wound of foot,284551006,Laceration of foot (disorder)
43,S96.92,Laceration of unspecified muscle and tendon at ankle and foot level,284551006,Laceration of foot (disorder)
44,O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester",398254007,Pre-eclampsia (disorder)
45,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester",398254007,Pre-eclampsia (disorder)
46,O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester",398254007,Pre-eclampsia (disorder)
47,O14,Pre-eclampsia,398254007,Pre-eclampsia (disorder)
48,L27.2,Dermatitis due to ingested food,24079001,Atopic dermatitis (disorder)
49,L20,Atopic dermatitis,24079001,Atopic dermatitis (disorder)
50,L30.8,Other specified dermatitis,24079001,Atopic dermatitis (disorder)
51,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
52,I50.9,"Heart failure, unspecified",88805009,Chronic congestive heart failure (disorder)
53,I50.22,Chronic systolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
54,I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
55,I50.32,Chronic diastolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
56,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",431855005,Chronic kidney disease stage 1 (disorder)
57,I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",431855005,Chronic kidney disease stage 1 (disorder)
58,N18.1,"Chronic kidney disease, stage 1",431855005,Chronic kidney disease stage 1 (disorder)
59,O15.00,"Eclampsia complicating pregnancy, unspecified trimester",198992004,Eclampsia in pregnancy (disorder)
60,O15.03,"Eclampsia complicating pregnancy, third trimester",198992004,Eclampsia in pregnancy (disorder)
61,O15.02,"Eclampsia complicating pregnancy, second trimester",198992004,Eclampsia in pregnancy (disorder)
62,O15.0,Eclampsia complicating pregnancy,198992004,Eclampsia in pregnancy (disorder)
63,M79.7,Fibromyalgia,203082005,Fibromyalgia (disorder)
64,Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified",84757009,Epilepsy (disorder)
65,O99.35,"Diseases of the nervous system complicating pregnancy, childbirth, and the puerperium",84757009,Epilepsy (disorder)
66,R51.9,"Headache, unspecified",84757009,Epilepsy (disorder)
67,G40,Epilepsy and recurrent seizures,84757009,Epilepsy (disorder)
68,P90,Convulsions of newborn,84757009,Epilepsy (disorder)
68,R62.50,Unspecified lack of expected normal physiological development in childhood,84757009,Epilepsy (disorder)
68,P70.2,Neonatal diabetes mellitus,84757009,Epilepsy (disorder)
69,T78.40,"Allergy, unspecified",241929008,Acute allergic reaction (disorder)
70,J80,Acute respiratory distress syndrome,67782005,Acute respiratory distress syndrome (disorder)
71,J45.21,Mild intermittent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
72,J45.42,Moderate persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
73,J45.41,Moderate persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
74,J45.20,"Mild intermittent asthma, uncomplicated",233678006,Childhood asthma (disorder)
75,J45.90,Unspecified asthma,233678006,Childhood asthma (disorder)
76,J45.22,Mild intermittent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
77,J45.40,"Moderate persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
78,J45.30,"Mild persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
79,J45.52,Severe persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
80,J45.32,Mild persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
81,J45.50,"Severe persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
82,J45.31,Mild persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
83,J45.51,Severe persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
84,I48.91,Unspecified atrial fibrillation,49436004,Atrial fibrillation (disorder)
85,I48.20,"Chronic atrial fibrillation, unspecified",49436004,Atrial fibrillation (disorder)
86,E11.21,Type 2 diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
87,E13.29,Other specified diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
88,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
89,E09.21,Drug or chemical induced diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
90,E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
91,E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
92,E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
93,E13.21,Other specified diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
94,E08.29,Diabetes mellitus due to underlying condition with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
95,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
96,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
97,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
98,N18.1,"Chronic kidney disease, stage 1",127013003,Disorder of kidney due to diabetes mellitus (disorder)
98,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
99,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
99,N18.30,"Chronic kidney disease, stage 3 unspecified",127013003,Disorder of kidney due to diabetes mellitus (disorder)
100,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
100,N18.5,"Chronic kidney disease, stage 5",127013003,Disorder of kidney due to diabetes mellitus (disorder)
101,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
101,N18.4,"Chronic kidney disease, stage 4 (severe)",127013003,Disorder of kidney due to diabetes mellitus (disorder)
102,E10.65,Type 1 diabetes mellitus with hyperglycemia,127013003,Disorder of kidney due to diabetes mellitus (disorder)
102,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
102,N18.2,"Chronic kidney disease, stage 2 (mild)",127013003,Disorder of kidney due to diabetes mellitus (disorder)
103,T30.0,"Burn of unspecified body region, unspecified degree",403190006,Epidermal burn of skin (disorder)
104,T21.16,Burn of first degree of male genital region,403190006,Epidermal burn of skin (disorder)
105,T21.57,Corrosion of first degree of female genital region,403190006,Epidermal burn of skin (disorder)
106,T20.19,"Burn of first degree of multiple sites of head, face, and neck",403190006,Epidermal burn of skin (disorder)
107,T23.13,"Burn of first degree of multiple fingers (nail), not including thumb",403190006,Epidermal burn of skin (disorder)
108,T30.4,"Corrosion of unspecified body region, unspecified degree",403190006,Epidermal burn of skin (disorder)
109,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403190006,Epidermal burn of skin (disorder)
109,T20.10,"Burn of first degree of head, face, and neck, unspecified site",403190006,Epidermal burn of skin (disorder)
110,T25.11,Burn of first degree of ankle,403190006,Epidermal burn of skin (disorder)
110,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403190006,Epidermal burn of skin (disorder)
111,A41,Other sepsis,91302008,Sepsis (disorder)
112,T81.44,Sepsis following a procedure,91302008,Sepsis (disorder)
113,R65.20,Severe sepsis without septic shock,91302008,Sepsis (disorder)
114,O86.04,Sepsis following an obstetrical procedure,91302008,Sepsis (disorder)
115,R65.21,Severe sepsis with septic shock,91302008,Sepsis (disorder)
116,R65.2,Severe sepsis,91302008,Sepsis (disorder)
117,O03.87,Sepsis following complete or unspecified spontaneous abortion,91302008,Sepsis (disorder)
118,K83.09,Other cholangitis,91302008,Sepsis (disorder)
119,O85,Puerperal sepsis,91302008,Sepsis (disorder)
120,Z16.21,Resistance to vancomycin,91302008,Sepsis (disorder)
120,A41.81,Sepsis due to Enterococcus,91302008,Sepsis (disorder)
121,M80,Osteoporosis with current pathological fracture,64859006,Osteoporosis (disorder)
122,M81,Osteoporosis without current pathological fracture,64859006,Osteoporosis (disorder)
123,S83.20,"Tear of unspecified meniscus, current injury",239720000,Tear of meniscus of knee (disorder)
124,M23.30,"Other meniscus derangements, unspecified meniscus",239720000,Tear of meniscus of knee (disorder)
125,S51.81,Laceration without foreign body of forearm,283371005,Laceration of forearm (disorder)
126,S56.42,"Laceration of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",283371005,Laceration of forearm (disorder)
127,S56.82,"Laceration of other muscles, fascia and tendons at forearm level",283371005,Laceration of forearm (disorder)
128,S56.92,"Laceration of unspecified muscles, fascia and tendons at forearm level",283371005,Laceration of forearm (disorder)
129,S55.11,Laceration of radial artery at forearm level,283371005,Laceration of forearm (disorder)
130,S55.21,Laceration of vein at forearm level,283371005,Laceration of forearm (disorder)
131,S54.00,"Injury of ulnar nerve at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
132,S56.52,"Laceration of other extensor muscle, fascia and tendon at forearm level",283371005,Laceration of forearm (disorder)
133,S55.91,Laceration of unspecified blood vessel at forearm level,283371005,Laceration of forearm (disorder)
134,S55.01,Laceration of ulnar artery at forearm level,283371005,Laceration of forearm (disorder)
135,S56.12,"Laceration of flexor muscle, fascia and tendon of other and unspecified finger at forearm level",283371005,Laceration of forearm (disorder)
136,S55.81,Laceration of other blood vessels at forearm level,283371005,Laceration of forearm (disorder)
137,S56.22,"Laceration of other flexor muscle, fascia and tendon at forearm level",283371005,Laceration of forearm (disorder)
138,A49.9,"Bacterial infection, unspecified",87628006,Bacterial infectious disease (disorder)
139,A28,"Other zoonotic bacterial diseases, not elsewhere classified",87628006,Bacterial infectious disease (disorder)
140,A48,"Other bacterial diseases, not elsewhere classified",87628006,Bacterial infectious disease (disorder)
141,B96.8,Other specified bacterial agents as the cause of diseases classified elsewhere,87628006,Bacterial infectious disease (disorder)
142,A77.49,Other ehrlichiosis,87628006,Bacterial infectious disease (disorder)
143,A49.8,Other bacterial infections of unspecified site,87628006,Bacterial infectious disease (disorder)
144,B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere,87628006,Bacterial infectious disease (disorder)
145,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",87628006,Bacterial infectious disease (disorder)
146,S42.00,Fracture of unspecified part of clavicle,58150001,Fracture of clavicle (disorder)
147,P13.4,Fracture of clavicle due to birth injury,58150001,Fracture of clavicle (disorder)
148,S42.0,Fracture of clavicle,58150001,Fracture of clavicle (disorder)
149,N18.2,"Chronic kidney disease, stage 2 (mild)",431856006,Chronic kidney disease stage 2 (disorder)
150,S72.10,Unspecified trochanteric fracture of femur,359817006,Closed fracture of hip (disorder)
151,S72.09,Other fracture of head and neck of femur,359817006,Closed fracture of hip (disorder)
152,S79.01,Salter-Harris Type I physeal fracture of upper end of femur,359817006,Closed fracture of hip (disorder)
153,S72.00,Fracture of unspecified part of neck of femur,359817006,Closed fracture of hip (disorder)
154,S79.00,Unspecified physeal fracture of upper end of femur,359817006,Closed fracture of hip (disorder)
155,S66.32,"Laceration of extensor muscle, fascia and tendon of other and unspecified finger at wrist and hand level",284549007,Laceration of hand (disorder)
156,S66.12,"Laceration of flexor muscle, fascia and tendon of other and unspecified finger at wrist and hand level",284549007,Laceration of hand (disorder)
157,S61.42,Laceration with foreign body of hand,284549007,Laceration of hand (disorder)
158,S66.82,"Laceration of other specified muscles, fascia and tendons at wrist and hand level",284549007,Laceration of hand (disorder)
159,S61.41,Laceration without foreign body of hand,284549007,Laceration of hand (disorder)
160,E03.4,Atrophy of thyroid (acquired),83664006,Idiopathic atrophic hypothyroidism (disorder)
161,F34.1,Dysthymic disorder,370143000,Major depressive disorder (disorder)
162,F33.9,"Major depressive disorder, recurrent, unspecified",370143000,Major depressive disorder (disorder)
163,F32.9,"Major depressive disorder, single episode, unspecified",370143000,Major depressive disorder (disorder)
164,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",38822007,Cystitis (disorder)
165,N30,Cystitis,38822007,Cystitis (disorder)
166,C50,Malignant neoplasm of breast,254837009,Malignant neoplasm of breast (disorder)
167,D05.92,Unspecified type of carcinoma in situ of left breast,254837009,Malignant neoplasm of breast (disorder)
168,D05.90,Unspecified type of carcinoma in situ of unspecified breast,254837009,Malignant neoplasm of breast (disorder)
169,D05.91,Unspecified type of carcinoma in situ of right breast,254837009,Malignant neoplasm of breast (disorder)
170,C79.81,Secondary malignant neoplasm of breast,254837009,Malignant neoplasm of breast (disorder)
171,S37.09,Other injury of kidney,40095003,Injury of kidney (disorder)
172,N17.9,"Acute kidney failure, unspecified",40095003,Injury of kidney (disorder)
173,S37.00,Unspecified injury of kidney,40095003,Injury of kidney (disorder)
174,N14.2,"Nephropathy induced by unspecified drug, medicament or biological substance",40095003,Injury of kidney (disorder)
175,S37.0,Injury of kidney,40095003,Injury of kidney (disorder)
176,T86.19,Other complication of kidney transplant,40095003,Injury of kidney (disorder)
177,T37.5,"Poisoning by, adverse effect of and underdosing of antiviral drugs",40095003,Injury of kidney (disorder)
177,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
178,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
178,T45.1,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",40095003,Injury of kidney (disorder)
179,T36.7,"Poisoning by, adverse effect of and underdosing of antifungal antibiotics, systemically used",40095003,Injury of kidney (disorder)
179,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
180,D07.5,Carcinoma in situ of prostate,92691004,Carcinoma in situ of prostate (disorder)
181,J44.9,"Chronic obstructive pulmonary disease, unspecified",185086009,Chronic obstructive bronchitis (disorder)
182,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,185086009,Chronic obstructive bronchitis (disorder)
183,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,185086009,Chronic obstructive bronchitis (disorder)
184,S26,Injury of heart,86175003,Injury of heart (disorder)
185,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",84114007,Heart failure (disorder)
186,I13.2,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",84114007,Heart failure (disorder)
187,I51.9,"Heart disease, unspecified",84114007,Heart failure (disorder)
188,I11.0,Hypertensive heart disease with heart failure,84114007,Heart failure (disorder)
189,I50,Heart failure,84114007,Heart failure (disorder)
190,P29.0,Neonatal cardiac failure,84114007,Heart failure (disorder)
191,I97.13,Postprocedural heart failure,84114007,Heart failure (disorder)
192,E11.34,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
193,E11.32,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
194,F11.13,Opioid abuse with withdrawal,5602001,Opioid abuse (disorder)
195,F11.15,Opioid abuse with opioid-induced psychotic disorder,5602001,Opioid abuse (disorder)
196,F11.92,"Opioid use, unspecified with intoxication",5602001,Opioid abuse (disorder)
197,F11.94,"Opioid use, unspecified with opioid-induced mood disorder",5602001,Opioid abuse (disorder)
198,F11.95,"Opioid use, unspecified with opioid-induced psychotic disorder",5602001,Opioid abuse (disorder)
199,F11.10,"Opioid abuse, uncomplicated",5602001,Opioid abuse (disorder)
200,F11.20,"Opioid dependence, uncomplicated",5602001,Opioid abuse (disorder)
201,F11.12,Opioid abuse with intoxication,5602001,Opioid abuse (disorder)
202,F11.18,Opioid abuse with other opioid-induced disorder,5602001,Opioid abuse (disorder)
203,F11.1,Opioid abuse,5602001,Opioid abuse (disorder)
204,F11.11,"Opioid abuse, in remission",5602001,Opioid abuse (disorder)
205,F11.19,Opioid abuse with unspecified opioid-induced disorder,5602001,Opioid abuse (disorder)
206,F11.98,"Opioid use, unspecified with other specified opioid-induced disorder",5602001,Opioid abuse (disorder)
207,F11.21,"Opioid dependence, in remission",5602001,Opioid abuse (disorder)
208,F11.22,Opioid dependence with intoxication,5602001,Opioid abuse (disorder)
209,F11.28,Opioid dependence with other opioid-induced disorder,5602001,Opioid abuse (disorder)
210,F11.90,"Opioid use, unspecified, uncomplicated",5602001,Opioid abuse (disorder)
211,Z87.89,Personal history of other specified conditions,5602001,Opioid abuse (disorder)
212,F11.93,"Opioid use, unspecified with withdrawal",5602001,Opioid abuse (disorder)
213,F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder",5602001,Opioid abuse (disorder)
214,M10,Gout,90560007,Inflammatory disorder due to increased blood urate level (disorder)
215,M1A,Chronic gout,90560007,Inflammatory disorder due to increased blood urate level (disorder)
216,G30,Alzheimer's disease,26929004,Alzheimer's disease (disorder)
217,J44.9,"Chronic obstructive pulmonary disease, unspecified",87433001,Pulmonary emphysema (disorder)
218,J43,Emphysema,87433001,Pulmonary emphysema (disorder)
219,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",87433001,Pulmonary emphysema (disorder)
220,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,87433001,Pulmonary emphysema (disorder)
220,J20.9,"Acute bronchitis, unspecified",87433001,Pulmonary emphysema (disorder)
221,K35.32,"Acute appendicitis with perforation and localized peritonitis, without abscess",47693006,Rupture of appendix (disorder)
222,K35.33,"Acute appendicitis with perforation and localized peritonitis, with abscess",47693006,Rupture of appendix (disorder)
223,D49.59,Neoplasm of unspecified behavior of other genitourinary organ,126906006,Neoplasm of prostate (disorder)
224,R97.21,Rising PSA following treatment for malignant neoplasm of prostate,126906006,Neoplasm of prostate (disorder)
225,S22.31,"Fracture of one rib, right side",33737001,Fracture of rib (disorder)
226,M84.48,"Pathological fracture, other site",33737001,Fracture of rib (disorder)
227,S22.39,"Fracture of one rib, unspecified side",33737001,Fracture of rib (disorder)
228,S22.32,"Fracture of one rib, left side",33737001,Fracture of rib (disorder)
229,S22.5,Flail chest,33737001,Fracture of rib (disorder)
230,S27.0,Traumatic pneumothorax,33737001,Fracture of rib (disorder)
231,L25,Unspecified contact dermatitis,40275004,Contact dermatitis (disorder)
232,H60.8,Other otitis externa,40275004,Contact dermatitis (disorder)
233,L23.81,Allergic contact dermatitis due to animal (cat) (dog) dander,40275004,Contact dermatitis (disorder)
234,S46.00,Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
235,S46.09,Other injury of muscle(s) and tendon(s) of the rotator cuff of shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
236,S46.80,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level",307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
237,S86.81,Strain of other muscles and tendons at lower leg level,30832001,Rupture of patellar tendon (disorder)
238,C34.00,Malignant neoplasm of unspecified main bronchus,254637007,Non-small cell lung cancer (disorder)
239,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,254637007,Non-small cell lung cancer (disorder)
240,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,254637007,Non-small cell lung cancer (disorder)
241,C34.01,Malignant neoplasm of right main bronchus,254637007,Non-small cell lung cancer (disorder)
242,C34.02,Malignant neoplasm of left main bronchus,254637007,Non-small cell lung cancer (disorder)
243,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,254637007,Non-small cell lung cancer (disorder)
244,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",254637007,Non-small cell lung cancer (disorder)
245,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",254637007,Non-small cell lung cancer (disorder)
246,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",254637007,Non-small cell lung cancer (disorder)
247,G43.10,"Migraine with aura, not intractable",427419006,Transformed migraine (disorder)
248,G43.70,"Chronic migraine without aura, not intractable",427419006,Transformed migraine (disorder)
249,S83.41,Sprain of medial collateral ligament of knee,444448004,Injury of medial collateral ligament of knee (disorder)
250,R04.2,Hemoptysis,66857006,Hemoptysis (finding)
251,F17.20,"Nicotine dependence, unspecified",449868002,Smokes tobacco daily (finding)
252,N39.0,"Urinary tract infection, site not specified",197927001,Recurrent urinary tract infection (disorder)
253,O23.40,"Unspecified infection of urinary tract in pregnancy, unspecified trimester",197927001,Recurrent urinary tract infection (disorder)
254,O23.42,"Unspecified infection of urinary tract in pregnancy, second trimester",197927001,Recurrent urinary tract infection (disorder)
255,O23.43,"Unspecified infection of urinary tract in pregnancy, third trimester",197927001,Recurrent urinary tract infection (disorder)
256,O23.41,"Unspecified infection of urinary tract in pregnancy, first trimester",197927001,Recurrent urinary tract infection (disorder)
257,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
258,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
259,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
260,Z68.42,"Body mass index [BMI] 45.0-49.9, adult",408512008,Body mass index 40+ - severely obese (finding)
261,E66.01,Morbid (severe) obesity due to excess calories,408512008,Body mass index 40+ - severely obese (finding)
262,Z68.45,"Body mass index [BMI] 70 or greater, adult",408512008,Body mass index 40+ - severely obese (finding)
263,Z68.41,"Body mass index [BMI]40.0-44.9, adult",408512008,Body mass index 40+ - severely obese (finding)
264,Z68.43,"Body mass index [BMI] 50.0-59.9, adult",408512008,Body mass index 40+ - severely obese (finding)
265,Z68.44,"Body mass index [BMI] 60.0-69.9, adult",408512008,Body mass index 40+ - severely obese (finding)
266,E66.1,Drug-induced obesity,408512008,Body mass index 40+ - severely obese (finding)
267,E66.2,Morbid (severe) obesity with alveolar hypoventilation,408512008,Body mass index 40+ - severely obese (finding)
268,M80.86,"Other osteoporosis with current pathological fracture, lower leg",443165006,Pathological fracture due to osteoporosis (disorder)
269,M80.01,"Age-related osteoporosis with current pathological fracture, shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
270,M84.45,"Pathological fracture, femur and pelvis",443165006,Pathological fracture due to osteoporosis (disorder)
271,M80.81,"Other osteoporosis with pathological fracture, shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
272,M80.85,"Other osteoporosis with current pathological fracture, femur",443165006,Pathological fracture due to osteoporosis (disorder)
273,M80.8,Other osteoporosis with current pathological fracture,443165006,Pathological fracture due to osteoporosis (disorder)
274,M80.0,Age-related osteoporosis with current pathological fracture,443165006,Pathological fracture due to osteoporosis (disorder)
275,M80.05,"Age-related osteoporosis with current pathological fracture, femur",443165006,Pathological fracture due to osteoporosis (disorder)
276,M80.80,"Other osteoporosis with current pathological fracture, unspecified site",443165006,Pathological fracture due to osteoporosis (disorder)
277,M80.06,"Age-related osteoporosis with current pathological fracture, lower leg",443165006,Pathological fracture due to osteoporosis (disorder)
278,M80.00,"Age-related osteoporosis with current pathological fracture, unspecified site",443165006,Pathological fracture due to osteoporosis (disorder)
279,Z87.31,Personal history of (healed) nontraumatic fracture,443165006,Pathological fracture due to osteoporosis (disorder)
280,D68.9,"Coagulation defect, unspecified",234466008,Acquired coagulation disorder (disorder)
