id,icd_code,icd_description,snomed,snomed_concept_name
57,S06.329,Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration,110030002,Concussion injury of brain (disorder)
58,S06.303,Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes,110030002,Concussion injury of brain (disorder)
59,S06.339,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration",110030002,Concussion injury of brain (disorder)
60,S06.328,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,110030002,Concussion injury of brain (disorder)
61,S06.899,Other specified intracranial injury with loss of consciousness of unspecified duration,110030002,Concussion injury of brain (disorder)
62,S06.389,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration",110030002,Concussion injury of brain (disorder)
62,S01.90,Unspecified open wound of unspecified part of head,110030002,Concussion injury of brain (disorder)
63,S76.921,"Laceration of unspecified muscles, fascia and tendons at thigh level, right thigh",283385000,Laceration of thigh (disorder)
64,S76.922,"Laceration of unspecified muscles, fascia and tendons at thigh level, left thigh",283385000,Laceration of thigh (disorder)
65,S76.829,"Laceration of other specified muscles, fascia and tendons at thigh level, unspecified thigh",283385000,Laceration of thigh (disorder)
66,S71.111,"Laceration without foreign body, right thigh",283385000,Laceration of thigh (disorder)
67,S76.929,"Laceration of unspecified muscles, fascia and tendons at thigh level, unspecified thigh",283385000,Laceration of thigh (disorder)
68,S76.822,"Laceration of other specified muscles, fascia and tendons at thigh level, left thigh",283385000,Laceration of thigh (disorder)
69,S76.229,"Laceration of adductor muscle, fascia and tendon of unspecified thigh",283385000,Laceration of thigh (disorder)
70,S76.329,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh",283385000,Laceration of thigh (disorder)
71,S76.121,"Laceration of right quadriceps muscle, fascia and tendon",283385000,Laceration of thigh (disorder)
72,S76.221,"Laceration of adductor muscle, fascia and tendon of right thigh",283385000,Laceration of thigh (disorder)
73,S76.222,"Laceration of adductor muscle, fascia and tendon of left thigh",283385000,Laceration of thigh (disorder)
74,S76.122,"Laceration of left quadriceps muscle, fascia and tendon",283385000,Laceration of thigh (disorder)
75,S75.219,"Minor laceration of greater saphenous vein at hip and thigh level, unspecified leg",283385000,Laceration of thigh (disorder)
76,S75.212,"Minor laceration of greater saphenous vein at hip and thigh level, left leg",283385000,Laceration of thigh (disorder)
77,S71.119,"Laceration without foreign body, unspecified thigh",283385000,Laceration of thigh (disorder)
78,S75.119,"Minor laceration of femoral vein at hip and thigh level, unspecified leg",283385000,Laceration of thigh (disorder)
79,S76.821,"Laceration of other specified muscles, fascia and tendons at thigh level, right thigh",283385000,Laceration of thigh (disorder)
80,S71.112,"Laceration without foreign body, left thigh",283385000,Laceration of thigh (disorder)
81,S76.129,"Laceration of unspecified quadriceps muscle, fascia and tendon",283385000,Laceration of thigh (disorder)
82,S75.211,"Minor laceration of greater saphenous vein at hip and thigh level, right leg",283385000,Laceration of thigh (disorder)
83,S62.101,"Fracture of unspecified carpal bone, right wrist",263102004,Fracture subluxation of wrist (disorder)
84,S62.102,"Fracture of unspecified carpal bone, left wrist",263102004,Fracture subluxation of wrist (disorder)
85,S62.109,"Fracture of unspecified carpal bone, unspecified wrist",263102004,Fracture subluxation of wrist (disorder)
86,S01.429,Laceration with foreign body of unspecified cheek and temporomandibular area,370247008,Facial laceration (disorder)
87,S01.422,Laceration with foreign body of left cheek and temporomandibular area,370247008,Facial laceration (disorder)
88,S01.421,Laceration with foreign body of right cheek and temporomandibular area,370247008,Facial laceration (disorder)
89,S01.411,Laceration without foreign body of right cheek and temporomandibular area,370247008,Facial laceration (disorder)
90,S01.412,Laceration without foreign body of left cheek and temporomandibular area,370247008,Facial laceration (disorder)
91,S01.419,Laceration without foreign body of unspecified cheek and temporomandibular area,370247008,Facial laceration (disorder)
92,S05.40,"Penetrating wound of orbit with or without foreign body, unspecified eye",370247008,Facial laceration (disorder)
93,S05.41,"Penetrating wound of orbit with or without foreign body, right eye",370247008,Facial laceration (disorder)
94,S09.12,Laceration of muscle and tendon of head,370247008,Facial laceration (disorder)
95,S01.81,Laceration without foreign body of other part of head,370247008,Facial laceration (disorder)
96,S01.91,Laceration without foreign body of unspecified part of head,370247008,Facial laceration (disorder)
97,S01.112,Laceration without foreign body of left eyelid and periocular area,370247008,Facial laceration (disorder)
98,S01.119,Laceration without foreign body of unspecified eyelid and periocular area,370247008,Facial laceration (disorder)
99,S05.42,"Penetrating wound of orbit with or without foreign body, left eye",370247008,Facial laceration (disorder)
100,S01.111,Laceration without foreign body of right eyelid and periocular area,370247008,Facial laceration (disorder)
101,S91.319,"Laceration without foreign body, unspecified foot",284551006,Laceration of foot (disorder)
102,S91.309,"Unspecified open wound, unspecified foot",284551006,Laceration of foot (disorder)
103,S91.312,"Laceration without foreign body, left foot",284551006,Laceration of foot (disorder)
104,S91.311,"Laceration without foreign body, right foot",284551006,Laceration of foot (disorder)
105,S96.922,"Laceration of unspecified muscle and tendon at ankle and foot level, left foot",284551006,Laceration of foot (disorder)
106,S96.921,"Laceration of unspecified muscle and tendon at ankle and foot level, right foot",284551006,Laceration of foot (disorder)
107,O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester",398254007,Pre-eclampsia (disorder)
108,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester",398254007,Pre-eclampsia (disorder)
109,O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester",398254007,Pre-eclampsia (disorder)
110,O14,Pre-eclampsia,398254007,Pre-eclampsia (disorder)
111,L27.2,Dermatitis due to ingested food,24079001,Atopic dermatitis (disorder)
112,L20,Atopic dermatitis,24079001,Atopic dermatitis (disorder)
113,L30.8,Other specified dermatitis,24079001,Atopic dermatitis (disorder)
114,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
115,I50.9,"Heart failure, unspecified",88805009,Chronic congestive heart failure (disorder)
116,I50.22,Chronic systolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
117,I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
118,I50.32,Chronic diastolic (congestive) heart failure,88805009,Chronic congestive heart failure (disorder)
119,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",431855005,Chronic kidney disease stage 1 (disorder)
120,I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",431855005,Chronic kidney disease stage 1 (disorder)
121,N18.1,"Chronic kidney disease, stage 1",431855005,Chronic kidney disease stage 1 (disorder)
122,O15.00,"Eclampsia complicating pregnancy, unspecified trimester",198992004,Eclampsia in pregnancy (disorder)
123,O15.03,"Eclampsia complicating pregnancy, third trimester",198992004,Eclampsia in pregnancy (disorder)
124,O15.02,"Eclampsia complicating pregnancy, second trimester",198992004,Eclampsia in pregnancy (disorder)
125,O15.0,Eclampsia complicating pregnancy,198992004,Eclampsia in pregnancy (disorder)
126,M79.7,Fibromyalgia,203082005,Fibromyalgia (disorder)
127,Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified",84757009,Epilepsy (disorder)
128,O99.351,"Diseases of the nervous system complicating pregnancy, first trimester",84757009,Epilepsy (disorder)
129,O99.353,"Diseases of the nervous system complicating pregnancy, third trimester",84757009,Epilepsy (disorder)
130,O99.350,"Diseases of the nervous system complicating pregnancy, unspecified trimester",84757009,Epilepsy (disorder)
131,R51.9,"Headache, unspecified",84757009,Epilepsy (disorder)
132,O99.352,"Diseases of the nervous system complicating pregnancy, second trimester",84757009,Epilepsy (disorder)
133,G40,Epilepsy and recurrent seizures,84757009,Epilepsy (disorder)
134,P90,Convulsions of newborn,84757009,Epilepsy (disorder)
134,R62.50,Unspecified lack of expected normal physiological development in childhood,84757009,Epilepsy (disorder)
134,P70.2,Neonatal diabetes mellitus,84757009,Epilepsy (disorder)
135,T78.40,"Allergy, unspecified",241929008,Acute allergic reaction (disorder)
136,J80,Acute respiratory distress syndrome,67782005,Acute respiratory distress syndrome (disorder)
137,J45.21,Mild intermittent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
138,J45.42,Moderate persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
139,J45.41,Moderate persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
140,J45.20,"Mild intermittent asthma, uncomplicated",233678006,Childhood asthma (disorder)
141,J45.909,"Unspecified asthma, uncomplicated",233678006,Childhood asthma (disorder)
142,J45.902,Unspecified asthma with status asthmaticus,233678006,Childhood asthma (disorder)
143,J45.22,Mild intermittent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
144,J45.40,"Moderate persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
145,J45.901,Unspecified asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
146,J45.30,"Mild persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
147,J45.52,Severe persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
148,J45.32,Mild persistent asthma with status asthmaticus,233678006,Childhood asthma (disorder)
149,J45.50,"Severe persistent asthma, uncomplicated",233678006,Childhood asthma (disorder)
150,J45.31,Mild persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
151,J45.51,Severe persistent asthma with (acute) exacerbation,233678006,Childhood asthma (disorder)
152,I48.91,Unspecified atrial fibrillation,49436004,Atrial fibrillation (disorder)
153,I48.20,"Chronic atrial fibrillation, unspecified",49436004,Atrial fibrillation (disorder)
154,E11.21,Type 2 diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
155,E13.29,Other specified diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
156,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
157,E09.21,Drug or chemical induced diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
158,E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
159,E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
160,E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
161,E13.21,Other specified diabetes mellitus with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
162,E08.29,Diabetes mellitus due to underlying condition with other diabetic kidney complication,127013003,Disorder of kidney due to diabetes mellitus (disorder)
163,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
164,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,127013003,Disorder of kidney due to diabetes mellitus (disorder)
165,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
166,N18.1,"Chronic kidney disease, stage 1",127013003,Disorder of kidney due to diabetes mellitus (disorder)
166,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
167,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
167,N18.30,"Chronic kidney disease, stage 3 unspecified",127013003,Disorder of kidney due to diabetes mellitus (disorder)
168,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
168,N18.5,"Chronic kidney disease, stage 5",127013003,Disorder of kidney due to diabetes mellitus (disorder)
169,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
169,N18.4,"Chronic kidney disease, stage 4 (severe)",127013003,Disorder of kidney due to diabetes mellitus (disorder)
170,E10.65,Type 1 diabetes mellitus with hyperglycemia,127013003,Disorder of kidney due to diabetes mellitus (disorder)
170,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,127013003,Disorder of kidney due to diabetes mellitus (disorder)
170,N18.2,"Chronic kidney disease, stage 2 (mild)",127013003,Disorder of kidney due to diabetes mellitus (disorder)
171,T30.0,"Burn of unspecified body region, unspecified degree",403190006,Epidermal burn of skin (disorder)
172,T21.16,Burn of first degree of male genital region,403190006,Epidermal burn of skin (disorder)
173,T21.57,Corrosion of first degree of female genital region,403190006,Epidermal burn of skin (disorder)
174,T20.19,"Burn of first degree of multiple sites of head, face, and neck",403190006,Epidermal burn of skin (disorder)
175,T23.139,"Burn of first degree of unspecified multiple fingers (nail), not including thumb",403190006,Epidermal burn of skin (disorder)
176,T30.4,"Corrosion of unspecified body region, unspecified degree",403190006,Epidermal burn of skin (disorder)
177,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403190006,Epidermal burn of skin (disorder)
177,T20.10,"Burn of first degree of head, face, and neck, unspecified site",403190006,Epidermal burn of skin (disorder)
178,T25.119,Burn of first degree of unspecified ankle,403190006,Epidermal burn of skin (disorder)
178,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403190006,Epidermal burn of skin (disorder)
179,A41,Other sepsis,91302008,Sepsis (disorder)
180,T81.44,Sepsis following a procedure,91302008,Sepsis (disorder)
181,R65.20,Severe sepsis without septic shock,91302008,Sepsis (disorder)
182,O86.04,Sepsis following an obstetrical procedure,91302008,Sepsis (disorder)
183,R65.21,Severe sepsis with septic shock,91302008,Sepsis (disorder)
184,R65.2,Severe sepsis,91302008,Sepsis (disorder)
185,O03.87,Sepsis following complete or unspecified spontaneous abortion,91302008,Sepsis (disorder)
186,K83.09,Other cholangitis,91302008,Sepsis (disorder)
187,O85,Puerperal sepsis,91302008,Sepsis (disorder)
188,Z16.21,Resistance to vancomycin,91302008,Sepsis (disorder)
188,A41.81,Sepsis due to Enterococcus,91302008,Sepsis (disorder)
189,M80,Osteoporosis with current pathological fracture,64859006,Osteoporosis (disorder)
190,M81,Osteoporosis without current pathological fracture,64859006,Osteoporosis (disorder)
191,S83.205,"Other tear of unspecified meniscus, current injury, unspecified knee",239720000,Tear of meniscus of knee (disorder)
192,S83.202,"Bucket-handle tear of unspecified meniscus, current injury, unspecified knee",239720000,Tear of meniscus of knee (disorder)
193,S83.204,"Other tear of unspecified meniscus, current injury, left knee",239720000,Tear of meniscus of knee (disorder)
194,S83.203,"Other tear of unspecified meniscus, current injury, right knee",239720000,Tear of meniscus of knee (disorder)
195,M23.309,"Other meniscus derangements, unspecified meniscus, unspecified knee",239720000,Tear of meniscus of knee (disorder)
196,S83.207,"Unspecified tear of unspecified meniscus, current injury, left knee",239720000,Tear of meniscus of knee (disorder)
197,S83.206,"Unspecified tear of unspecified meniscus, current injury, right knee",239720000,Tear of meniscus of knee (disorder)
198,M23.307,"Other meniscus derangements, unspecified meniscus, left knee",239720000,Tear of meniscus of knee (disorder)
199,S83.209,"Unspecified tear of unspecified meniscus, current injury, unspecified knee",239720000,Tear of meniscus of knee (disorder)
200,M23.306,"Other meniscus derangements, unspecified meniscus, right knee",239720000,Tear of meniscus of knee (disorder)
201,S51.819,Laceration without foreign body of unspecified forearm,283371005,Laceration of forearm (disorder)
202,S56.429,"Laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level",283371005,Laceration of forearm (disorder)
203,S56.829,"Laceration of other muscles, fascia and tendons at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
204,S56.929,"Laceration of unspecified muscles, fascia and tendons at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
205,S55.119,"Laceration of radial artery at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
206,S55.219,"Laceration of vein at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
207,S54.00,"Injury of ulnar nerve at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
208,S56.529,"Laceration of other extensor muscle, fascia and tendon at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
209,S55.919,"Laceration of unspecified blood vessel at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
210,S55.019,"Laceration of ulnar artery at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
211,S56.129,"Laceration of flexor muscle, fascia and tendon of unspecified finger at forearm level",283371005,Laceration of forearm (disorder)
212,S55.819,"Laceration of other blood vessels at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
213,S56.229,"Laceration of other flexor muscle, fascia and tendon at forearm level, unspecified arm",283371005,Laceration of forearm (disorder)
214,A49.9,"Bacterial infection, unspecified",87628006,Bacterial infectious disease (disorder)
215,A28,"Other zoonotic bacterial diseases, not elsewhere classified",87628006,Bacterial infectious disease (disorder)
216,A48,"Other bacterial diseases, not elsewhere classified",87628006,Bacterial infectious disease (disorder)
217,B96.8,Other specified bacterial agents as the cause of diseases classified elsewhere,87628006,Bacterial infectious disease (disorder)
218,A77.49,Other ehrlichiosis,87628006,Bacterial infectious disease (disorder)
219,A49.8,Other bacterial infections of unspecified site,87628006,Bacterial infectious disease (disorder)
220,B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere,87628006,Bacterial infectious disease (disorder)
221,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",87628006,Bacterial infectious disease (disorder)
222,S42.009,Fracture of unspecified part of unspecified clavicle,58150001,Fracture of clavicle (disorder)
223,S42.001,Fracture of unspecified part of right clavicle,58150001,Fracture of clavicle (disorder)
224,S42.002,Fracture of unspecified part of left clavicle,58150001,Fracture of clavicle (disorder)
225,P13.4,Fracture of clavicle due to birth injury,58150001,Fracture of clavicle (disorder)
226,S42.0,Fracture of clavicle,58150001,Fracture of clavicle (disorder)
227,N18.2,"Chronic kidney disease, stage 2 (mild)",431856006,Chronic kidney disease stage 2 (disorder)
228,S72.109,Unspecified trochanteric fracture of unspecified femur,359817006,Closed fracture of hip (disorder)
229,S72.091,Other fracture of head and neck of right femur,359817006,Closed fracture of hip (disorder)
230,S79.019,Salter-Harris Type I physeal fracture of upper end of unspecified femur,359817006,Closed fracture of hip (disorder)
231,S72.009,Fracture of unspecified part of neck of unspecified femur,359817006,Closed fracture of hip (disorder)
232,S72.001,Fracture of unspecified part of neck of right femur,359817006,Closed fracture of hip (disorder)
233,S72.101,Unspecified trochanteric fracture of right femur,359817006,Closed fracture of hip (disorder)
234,S72.092,Other fracture of head and neck of left femur,359817006,Closed fracture of hip (disorder)
235,S72.099,Other fracture of head and neck of unspecified femur,359817006,Closed fracture of hip (disorder)
236,S72.002,Fracture of unspecified part of neck of left femur,359817006,Closed fracture of hip (disorder)
237,S72.102,Unspecified trochanteric fracture of left femur,359817006,Closed fracture of hip (disorder)
238,S79.011,Salter-Harris Type I physeal fracture of upper end of right femur,359817006,Closed fracture of hip (disorder)
239,S79.012,Salter-Harris Type I physeal fracture of upper end of left femur,359817006,Closed fracture of hip (disorder)
240,S79.002,Unspecified physeal fracture of upper end of left femur,359817006,Closed fracture of hip (disorder)
241,S66.321,"Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level",284549007,Laceration of hand (disorder)
242,S66.122,"Laceration of flexor muscle, fascia and tendon of right middle finger at wrist and hand level",284549007,Laceration of hand (disorder)
243,S66.123,"Laceration of flexor muscle, fascia and tendon of left middle finger at wrist and hand level",284549007,Laceration of hand (disorder)
244,S66.329,"Laceration of extensor muscle, fascia and tendon of unspecified finger at wrist and hand level",284549007,Laceration of hand (disorder)
245,S61.421,Laceration with foreign body of right hand,284549007,Laceration of hand (disorder)
246,S61.422,Laceration with foreign body of left hand,284549007,Laceration of hand (disorder)
247,S66.829,"Laceration of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand",284549007,Laceration of hand (disorder)
248,S61.411,Laceration without foreign body of right hand,284549007,Laceration of hand (disorder)
249,S61.412,Laceration without foreign body of left hand,284549007,Laceration of hand (disorder)
250,S61.419,Laceration without foreign body of unspecified hand,284549007,Laceration of hand (disorder)
251,S66.320,"Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level",284549007,Laceration of hand (disorder)
252,E03.4,Atrophy of thyroid (acquired),83664006,Idiopathic atrophic hypothyroidism (disorder)
253,F34.1,Dysthymic disorder,370143000,Major depressive disorder (disorder)
254,F33.9,"Major depressive disorder, recurrent, unspecified",370143000,Major depressive disorder (disorder)
255,F32.9,"Major depressive disorder, single episode, unspecified",370143000,Major depressive disorder (disorder)
256,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",38822007,Cystitis (disorder)
257,N30,Cystitis,38822007,Cystitis (disorder)
258,C50,Malignant neoplasm of breast,254837009,Malignant neoplasm of breast (disorder)
259,D05.92,Unspecified type of carcinoma in situ of left breast,254837009,Malignant neoplasm of breast (disorder)
260,D05.90,Unspecified type of carcinoma in situ of unspecified breast,254837009,Malignant neoplasm of breast (disorder)
261,D05.91,Unspecified type of carcinoma in situ of right breast,254837009,Malignant neoplasm of breast (disorder)
262,C79.81,Secondary malignant neoplasm of breast,254837009,Malignant neoplasm of breast (disorder)
263,S37.099,Other injury of unspecified kidney,40095003,Injury of kidney (disorder)
264,S37.092,Other injury of left kidney,40095003,Injury of kidney (disorder)
